"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"720",3.5,7,100,100,96.5,93
"721",12,3.5,100,100,88,96.5
"722",13,13.5,100,100,87,86.5
"723",0.5,26.5,100,100,99.5,73.5
"724",1.5,4,100,100,98.5,96
"725",0,2,100,100,100,98
"726",0,0,100,100,100,100
"727",1.5,3.5,100,100,98.5,96.5
"728",1,0,100,100,99,100
"729",17,16,100,100,83,84
"730",0,0,100,100,100,100
"731",32,6.5,100,100,68,93.5
"732",0,8,100,100,100,92
"733",28.5,0,100,100,71.5,100
"734",8,4.5,100,100,92,95.5
"735",0.5,20,100,100,99.5,80
"736",0,4.5,100,100,100,95.5
"737",9,10,99.5,99.5,90.5,89.5
"738",3.5,4,100,100,96.5,96
"739",7.5,1,100,100,92.5,99
"740",0,4.5,100,100,100,95.5
"741",0,2,100,100,100,98
"742",0,0,100,100,100,100
"743",0,0.5,100,100,100,99.5
"744",0,5,100,100,100,95
"745",0,1.5,100,100,100,98.5
"746",1,3,100,100,99,97
"747",6.5,0,99.5,99.5,93,99.5
"748",3,6.5,100,100,97,93.5
"749",0,0,100,100,100,100
"750",0,11,100,100,100,89
"751",0,1,100,100,100,99
"752",0,4,100,100,100,96
"753",6,1.5,100,100,94,98.5
"754",0,0,100,100,100,100
"755",0,0,100,100,100,100
"756",0,0,100,100,100,100
"757",0.5,0,100,100,99.5,100
"758",6.5,2,100,100,93.5,98
"759",0,4,100,100,100,96
"760",0,0,100,100,100,100
"761",0,0.5,100,100,100,99.5
"762",0,12.5,100,100,100,87.5
"763",0,0,100,100,100,100
"764",2,2.5,100,100,98,97.5
"765",0,0,100,100,100,100
"766",0,0,100,100,100,100
"767",0,0,100,100,100,100
"768",1.5,8,100,100,98.5,92
"769",14.5,14,100,100,85.5,86
"770",0,2,100,100,100,98
"771",0,0,100,100,100,100
"772",0,2,100,100,100,98
"773",2.5,10.5,100,100,97.5,89.5
"774",0,0.5,99.5,99.5,99.5,99
"775",0,0.5,100,100,100,99.5
"776",0.5,3,100,100,99.5,97
"777",1,0,100,100,99,100
"778",2.5,8,99.5,99.5,97,91.5
"779",33.5,12,100,100,66.5,88
"780",0,0.5,100,100,100,99.5
"781",1,0,100,100,99,100
"782",0,7,100,100,100,93
"783",0,6.5,100,100,100,93.5
"784",0.5,0,100,100,99.5,100
"785",0,3,100,100,100,97
"786",10,12,100,100,90,88
"787",0,0.5,100,100,100,99.5
"788",3.5,4,100,100,96.5,96
"789",0,3,100,100,100,97
"790",0,0.5,99,99,99,98.5
"791",0,0.5,100,100,100,99.5
"792",0,1,100,100,100,99
"793",0,5,100,100,100,95
"794",2,0,100,100,98,100
"795",0,0,100,100,100,100
"796",0,7,99.5,99.5,99.5,92.5
"797",11,0.5,100,100,89,99.5
"798",0,6.5,100,100,100,93.5
"799",9.5,2.5,100,100,90.5,97.5
"800",0.5,3,99.5,99.5,99,96.5
"801",0.5,4.5,100,100,99.5,95.5
"802",0,0.5,100,100,100,99.5
"803",3.5,0.5,100,100,96.5,99.5
"804",0,1.5,100,100,100,98.5
"805",3,0,100,100,97,100
"806",8,12,100,100,92,88
"807",0,2.5,100,100,100,97.5
"808",6.5,9,100,100,93.5,91
"809",0.5,4.5,100,100,99.5,95.5
"810",0.5,3.5,100,100,99.5,96.5
"811",0,0,100,100,100,100
"812",0.5,1.5,100,100,99.5,98.5
"813",0,0.5,100,100,100,99.5
"814",2,5.5,100,100,98,94.5
"815",0.5,0,100,100,99.5,100
"816",0,2.5,100,100,100,97.5
"817",0.5,3,100,100,99.5,97
"818",1.5,8,99.5,99.5,98,91.5
"819",3.5,6,100,100,96.5,94
"820",1,12.5,99.5,99.5,98.5,87
"821",7.5,0,100,100,92.5,100
"822",6.5,16.5,99.5,99.5,93,83
"823",0,0,100,100,100,100
"824",0,7,100,100,100,93
"825",0,0,100,100,100,100
