"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"324",1,1,91,92,90,91
"325",0,0,63,63,63,63
"326",1,0,72,72,71,72
"327",0,3,72,71,72,68
"328",0,7,67,66,67,59
"329",0,0,74,74,74,74
"330",6,33,82,83,76,50
"331",24,0,93,93,69,93
"332",0,1,68,68,68,67
"333",1,2,71,74,70,72
"334",3,11,70,69,67,58
"335",0,5,69,67,69,62
"336",0,0,92,91,92,91
"337",2,3,81,81,79,78
"338",0,0,81,81,81,81
"339",0,0,76,78,76,78
"340",0,5,84,83,84,78
"341",7,5,86,88,79,83
"342",0,14,80,81,80,67
"343",0,0,83,80,83,80
"344",13,11,82,80,69,69
"345",0,1,85,86,85,85
"346",2,2,80,81,78,79
"347",0,0,83,82,83,82
"348",19,37,65,65,46,28
"349",0,2,76,76,76,74
"350",0,3,85,85,85,82
"351",4,4,69,70,65,66
"352",0,4,70,73,70,69
"353",11,33,57,57,46,24
"354",14,2,87,87,73,85
"355",0,7,79,80,79,73
"356",0,4,71,71,71,67
"357",2,3,66,66,64,63
"358",15,13,71,72,56,59
"359",0,3,87,85,87,82
"360",0,0,85,86,85,86
"361",0,0,69,69,69,69
"362",3,2,81,81,78,79
"363",1,2,56,57,55,55
"364",0,1,87,86,87,85
"365",0,0,91,92,91,92
"366",0,0,83,82,83,82
"367",0,0,79,79,79,79
"368",21,1,81,82,60,81
"369",2,0,77,78,75,78
"370",1,1,75,74,74,73
"371",0,0,83,83,83,83
"372",0,12,68,67,68,55
"373",4,0,81,80,77,80
"374",0,1,86,89,86,88
"375",0,15,78,79,78,64
"376",0,7,77,76,77,69
"377",0,0,76,76,76,76
"378",0,1,70,70,70,69
"379",1,1,75,75,74,74
"380",0,5,91,90,91,85
"381",3,10,89,87,86,77
"382",4,0,79,80,75,80
"383",0,3,83,83,83,80
"384",0,0,78,78,78,78
"385",2,1,85,84,83,83
"386",0,0,82,82,82,82
"387",0,4,75,73,75,69
"388",0,0,94,95,94,95
"389",0,1,75,78,75,77
"390",1,0,76,75,75,75
"391",0,0,85,87,85,87
"392",0,1,69,68,69,67
"393",18,0,77,75,59,75
"394",7,3,65,66,58,63
"395",0,0,69,70,69,70
"396",0,0,64,64,64,64
"397",0,1,84,84,84,83
"398",0,1,68,69,68,68
"399",0,4,62,62,62,58
"400",0,1,88,89,88,88
"401",0,14,66,68,66,54
"402",0,3,95,95,95,92
"403",0,1,95,94,95,93
"404",1,4,72,70,71,66
"405",0,2,67,67,67,65
"406",0,2,66,66,66,64
"407",2,0,87,88,85,88
"408",0,1,77,78,77,77
"409",5,0,82,81,77,81
"410",0,1,76,76,76,75
"411",0,0,77,77,77,77
"412",1,0,65,66,64,66
"413",0,0,80,80,80,80
"414",0,1,80,79,80,78
"415",0,3,85,86,85,83
"416",3,4,72,72,69,68
"417",9,1,65,65,56,64
"418",0,3,78,79,78,76
"419",0,0,74,74,74,74
"420",2,11,81,81,79,70
"421",0,2,76,76,76,74
"422",14,0,83,83,69,83
"423",1,3,72,74,71,71
"424",0,0,58,55,58,55
"425",0,0,69,68,69,68
"426",1,7,75,73,74,66
"427",0,3,76,75,76,72
"428",0,9,70,69,70,60
"429",0,2,85,84,85,82
"430",27,0,73,73,46,73
"431",5,18,62,63,57,45
"432",0,3,67,66,67,63
"433",1,6,87,86,86,80
"434",0,0,81,82,81,82
"435",0,0,84,86,84,86
"436",1,0,83,83,82,83
"437",4,0,94,94,90,94
"438",6,0,82,83,76,83
"439",10,0,56,55,46,55
"440",5,5,72,72,67,67
"441",12,3,74,74,62,71
"442",0,0,77,78,77,78
"443",17,2,63,64,46,62
"444",0,1,78,78,78,77
"445",0,0,75,76,75,76
"446",0,0,72,74,72,74
"447",0,0,72,72,72,72
"448",0,2,81,82,81,80
"449",1,1,80,81,79,80
"450",1,1,57,56,56,55
"451",2,0,86,85,84,85
"452",0,0,68,68,68,68
"453",2,8,87,87,85,79
"454",0,0,78,79,78,79
"455",0,0,79,77,79,77
"456",0,7,90,90,90,83
"457",0,1,81,81,81,80
"458",0,1,68,68,68,67
"459",8,0,76,77,68,77
"460",1,0,80,80,79,80
"461",0,0,73,73,73,73
"462",1,1,72,69,71,68
"463",0,0,85,85,85,85
"464",9,2,80,80,71,78
"465",0,0,78,77,78,77
"466",0,8,77,77,77,69
"467",0,4,74,74,74,70
"468",0,0,81,78,81,78
"469",0,4,86,86,86,82
"470",0,1,58,56,58,55
"471",0,3,77,77,77,74
"472",0,0,86,86,86,86
"473",0,0,71,72,71,72
"474",0,0,89,91,89,91
"475",0,0,79,79,79,79
"476",0,3,67,67,67,64
"477",0,0,83,84,83,84
"478",0,0,71,69,71,69
"479",5,0,85,85,80,85
"480",4,0,91,91,87,91
"481",2,5,60,58,58,53
"482",0,1,83,82,83,81
"483",0,9,75,76,75,67
"484",0,0,81,83,81,83
"485",0,0,85,83,85,83
"486",1,0,79,79,78,79
"487",0,2,77,76,77,74
"488",2,0,78,77,76,77
"489",0,0,70,71,70,71
"490",8,8,80,79,72,71
"491",0,0,83,82,83,82
"492",0,0,83,83,83,83
"493",0,0,74,74,74,74
"494",29,2,85,84,56,82
"495",1,0,72,73,71,73
"496",2,4,83,83,81,79
"497",10,0,54,55,44,55
"498",0,0,84,84,84,84
"499",0,0,85,84,85,84
"500",0,0,74,75,74,75
"501",0,3,79,79,79,76
"502",0,1,78,76,78,75
"503",2,4,74,75,72,71
"504",1,0,80,79,79,79
"505",6,2,78,78,72,76
"506",0,3,65,67,65,64
"507",0,3,69,69,69,66
"508",0,1,79,80,79,79
"509",0,2,81,81,81,79
"510",13,3,63,67,50,64
"511",0,1,77,76,77,75
"512",0,0,78,77,78,77
"513",1,0,85,85,84,85
"514",4,5,84,84,80,79
"515",4,2,52,51,48,49
"516",9,2,85,85,76,83
"517",0,7,72,73,72,66
"518",8,1,64,63,56,62
"519",0,3,74,76,74,73
"520",4,0,73,73,69,73
"521",4,1,83,83,79,82
"522",0,1,84,83,84,82
"523",9,0,90,91,81,91
"524",3,0,91,91,88,91
"525",28,14,78,78,50,64
"526",0,0,84,85,84,85
"527",4,7,69,69,65,62
"528",0,0,54,53,54,53
"529",0,0,83,84,83,84
"530",0,10,80,81,80,71
"531",0,14,79,81,79,67
"532",0,0,86,84,86,84
"533",0,0,73,74,73,74
"534",0,1,88,85,88,84
"535",0,1,75,75,75,74
"536",12,18,83,83,71,65
"537",0,0,86,85,86,85
"538",3,3,74,75,71,72
"539",0,9,91,90,91,81
"540",1,0,82,84,81,84
"541",0,0,83,84,83,84
"542",1,0,78,78,77,78
"543",0,0,82,80,82,80
"544",3,5,79,79,76,74
"545",0,1,72,74,72,73
"546",0,1,80,80,80,79
"547",0,0,85,85,85,85
"548",0,0,89,91,89,91
"549",0,0,86,84,86,84
"550",0,0,66,67,66,67
"551",25,9,94,94,69,85
"552",3,1,80,80,77,79
"553",0,7,82,81,82,74
"554",0,1,65,65,65,64
"555",6,0,91,90,85,90
"556",0,0,85,85,85,85
"557",0,0,81,80,81,80
"558",0,4,82,81,82,77
"559",0,0,69,69,69,69
"560",0,1,67,68,67,67
"561",0,2,75,75,75,73
"562",0,2,74,73,74,71
"563",3,0,64,64,61,64
"564",0,0,88,89,88,89
"565",0,0,62,64,62,64
"566",0,0,76,77,76,77
"567",0,0,88,89,88,89
"568",1,2,83,84,82,82
"569",0,2,84,86,84,84
"570",0,11,64,64,64,53
"571",0,1,79,79,79,78
"572",0,0,86,84,86,84
"573",0,0,78,76,78,76
"574",0,2,82,83,82,81
"575",0,0,76,76,76,76
"576",0,6,82,82,82,76
"577",0,0,78,78,78,78
"578",2,1,81,82,79,81
"579",0,2,81,81,81,79
"580",2,1,77,78,75,77
"581",1,12,86,85,85,73
"582",0,1,67,66,67,65
"583",2,1,82,81,80,80
"584",0,0,66,66,66,66
"585",0,1,84,82,84,81
"586",0,13,77,76,77,63
"587",0,5,84,81,84,76
"588",26,1,62,60,36,59
"589",6,23,73,73,67,50
"590",1,0,72,73,71,73
"591",0,0,81,82,81,82
"592",10,0,59,57,49,57
"593",0,1,73,75,73,74
"594",8,0,80,79,72,79
"595",32,0,87,86,55,86
"596",0,0,75,74,75,74
"597",0,2,67,67,67,65
"598",0,1,78,78,78,77
"599",1,1,83,83,82,82
"600",0,1,68,67,68,66
"601",0,0,84,83,84,83
"602",0,1,67,69,67,68
"603",0,2,77,74,77,72
"604",2,1,82,81,80,80
"605",0,0,90,91,90,91
"606",0,0,74,75,74,75
"607",2,13,82,81,80,68
"608",1,0,69,69,68,69
"609",3,2,74,74,71,72
"610",2,0,93,92,91,92
"611",1,7,75,77,74,70
"612",0,0,87,90,87,90
"613",0,4,71,71,71,67
"614",0,8,67,68,67,60
"615",5,8,89,88,84,80
"616",0,0,78,78,78,78
"617",0,0,69,71,69,71
"618",3,16,64,62,61,46
"619",0,0,87,88,87,88
"620",5,1,69,69,64,68
"621",5,5,84,84,79,79
"622",2,1,84,84,82,83
"623",4,1,79,78,75,77
"624",0,2,83,83,83,81
"625",1,1,83,83,82,82
"626",0,4,70,69,70,65
"627",17,4,72,72,55,68
"628",0,0,67,67,67,67
"629",0,0,82,83,82,83
"630",0,1,67,67,67,66
"631",4,5,70,71,66,66
"632",1,3,72,72,71,69
"633",3,2,77,77,74,75
"634",3,0,85,83,82,83
"635",0,0,73,73,73,73
"636",8,0,81,81,73,81
"637",1,0,85,85,84,85
"638",0,0,61,60,61,60
"639",0,1,87,85,87,84
"640",0,8,88,88,88,80
"641",3,0,88,86,85,86
"642",20,0,74,74,54,74
"643",0,0,80,80,80,80
"644",0,6,78,78,78,72
"645",0,5,83,83,83,78
"646",0,0,71,71,71,71
"647",7,9,77,78,70,69
"648",0,0,69,69,69,69
"649",1,15,75,77,74,62
"650",4,0,70,71,66,71
"651",5,3,84,85,79,82
"652",0,0,74,74,74,74
"653",1,0,72,72,71,72
"654",1,0,75,74,74,74
"655",4,2,77,76,73,74
"656",0,1,70,70,70,69
"657",0,0,76,77,76,77
"658",4,6,68,70,64,64
"659",0,0,67,68,67,68
"660",10,21,90,88,80,67
"661",0,3,85,85,85,82
"662",0,0,72,72,72,72
"663",0,0,79,79,79,79
"664",0,0,76,75,76,75
"665",0,0,71,70,71,70
"666",18,2,79,79,61,77
"667",0,2,73,72,73,70
"668",0,0,74,73,74,73
"669",0,0,83,84,83,84
"670",5,29,75,76,70,47
"671",0,0,91,91,91,91
"672",0,0,82,81,82,81
"673",0,9,81,81,81,72
"674",3,0,70,69,67,69
"675",0,1,63,63,63,62
"676",1,2,72,72,71,70
"677",7,0,80,80,73,80
"678",0,1,64,64,64,63
"679",0,2,87,88,87,86
"680",2,12,66,66,64,54
"681",0,4,70,70,70,66
"682",11,2,57,59,46,57
"683",0,1,82,82,82,81
"684",12,1,88,87,76,86
"685",0,0,78,80,78,80
"686",0,1,75,75,75,74
"687",3,1,81,82,78,81
"688",6,0,72,72,66,72
"689",0,8,71,71,71,63
"690",1,0,85,86,84,86
"691",0,0,88,87,88,87
"692",0,3,89,88,89,85
"693",4,0,82,81,78,81
"694",0,0,82,81,82,81
"695",0,3,82,83,82,80
"696",2,0,73,71,71,71
"697",0,0,77,78,77,78
"698",0,0,80,81,80,81
"699",0,8,66,67,66,59
"700",0,4,75,75,75,71
"701",1,1,77,78,76,77
"702",0,0,76,77,76,77
"703",1,19,94,95,93,76
"704",0,0,81,83,81,83
"705",12,4,86,87,74,83
"706",0,0,82,81,82,81
"707",12,6,84,83,72,77
"708",0,10,72,72,72,62
"709",6,0,75,76,69,76
"710",2,2,69,68,67,66
"711",5,0,92,93,87,93
"712",1,2,97,95,96,93
"713",0,1,80,79,80,78
"714",6,16,78,80,72,64
"715",0,0,71,71,71,71
"716",0,3,72,72,72,69
"717",0,0,66,66,66,66
"718",0,2,77,77,77,75
"719",0,0,80,82,80,82
